adrid,adr_info
Pseudoporphyria,23.03.01.006
Embolism,24.01.01.009
Complex regional pain syndrome,12.01.12.004;17.02.07.010
Lipodystrophy acquired,14.08.04.008;23.07.01.003
Antitussive therapy,25.13.03.002
Nipple disorder,21.05.04.006
Iron deficiency anaemia,01.03.01.002;14.13.02.001
Blood creatinine normal,13.13.01.021
Hepatitis C,09.01.09.005;11.05.28.004
Dysmenorrhoea,21.01.01.002
Blood creatine phosphokinase increased,13.04.01.001
Body mass index decreased,13.15.01.025
Hypogonadism,05.05.04.002;21.03.02.010;05.05.04.009;21.03.02.025
Ulcer,08.03.06.001
Neuropathy peripheral,17.09.03.003
Malaise,08.01.01.003
Failure to thrive,14.03.02.008;18.04.01.003;19.07.05.001
Nerve injury,12.01.12.002;17.02.10.007
Menopausal disorder,21.02.02.005
Retrograde amnesia,17.03.02.006;19.20.01.006
Local swelling,08.01.03.015
Testicular pain,21.13.01.005
Breath sounds abnormal,13.15.01.008
Heart rate irregular,13.14.04.003
Episcleritis,06.04.07.001;10.02.01.024;06.04.07.002;06.04.07.004;10.02.01.025
Vitreous opacities,06.09.01.007
Colon cancer,07.21.01.001;16.13.01.001;07.21.10.001;16.13.02.001
Complication of delivery,18.07.04.003
Apnoea,22.02.01.001
Peripheral sensorimotor neuropathy,17.09.03.009
Dysthymic disorder,19.15.01.006
Strangury,20.02.02.017
Gastrointestinal carcinoma,07.21.03.001;16.13.04.001
Gonorrhoea,11.02.14.005;21.10.03.017
Essential hypertension,24.08.02.008
Calcium deficiency,05.04.02.004;14.04.01.013
Electrocardiogram PR shortened,13.14.05.002
Thought blocking,19.10.03.003
Cheilosis,07.05.01.002;23.03.03.026
Arteriovenous fistula thrombosis,12.02.01.006;24.01.01.017
Porphyria non-acute,03.08.01.004;09.01.10.003;14.14.01.004;23.03.01.012
Libido disorder,19.08.03.004;21.03.02.006
Dermoid cyst,03.05.01.005;16.02.02.006
Irritability,08.01.03.011;19.04.02.013
Superior sagittal sinus thrombosis,17.08.03.001;24.01.04.004
Sickle cell anaemia,01.04.02.002;03.15.03.001
Basal cell carcinoma,16.03.02.001;23.08.02.001
Congenital foot malformation,03.11.07.002;15.11.07.002
Hydronephrosis,20.01.05.001
Chronic leukaemia,01.10.10.001;16.01.10.001
Smear cervix normal,13.20.02.005
Anaemia postoperative,01.03.02.014;12.02.05.032
Blood creatinine abnormal,13.13.01.002
Beta 2 microglobulin increased,13.09.01.015
Blood potassium decreased,13.11.01.010
Abdominal pain lower,07.01.05.010
Pressure of speech,19.19.03.006
Gastrointestinal necrosis,07.15.01.003;24.04.08.006
Muscular weakness,15.05.06.001;17.05.03.005
Osteolysis,14.04.04.006;15.02.03.008
Tympanic membrane hyperaemia,04.05.04.003
Syphilis,11.02.13.002
Vulvovaginal burning sensation,21.08.02.007
Retinal injury,06.11.01.001;12.01.04.002
Cardiac failure high output,02.05.01.010
Bladder cancer,16.08.01.001;20.03.04.001;16.08.03.002;20.03.04.002
Ureteritis,11.01.14.007;20.06.01.013
Nail bed tenderness,23.02.05.018
Anterior chamber inflammation,06.04.10.002
Congenital genitourinary abnormality,03.06.02.002;20.08.03.001;21.15.02.002
Face oedema,08.01.07.003;10.01.05.002;23.04.01.004
Meibomianitis,06.04.04.008
Neutropenic sepsis,01.02.03.007;11.01.11.006
Adams-Stokes syndrome,02.03.01.001;17.02.04.010
Wound complication,12.01.08.010;23.03.11.044
Renal cyst,16.27.01.001;20.01.04.001
Muscle tone disorder,15.05.04.017;17.05.02.014
Coagulation test abnormal,13.01.02.018
Dysuria,20.02.02.002
Mastication disorder,07.01.06.016;15.03.05.022;17.05.03.006
Sleep apnoea syndrome,17.15.05.001;19.02.05.002;22.02.01.013
Catheter site phlebitis,08.02.02.013;12.07.02.013;24.12.03.001
Skin disorder,23.03.03.007
Supraventricular extrasystoles,02.03.03.011
Vessel puncture site haematoma,08.02.04.002;12.07.04.003;24.07.01.018
Drug dependence,19.07.06.011;19.07.06.010;19.07.06.012;19.07.06.018;19.07.06.019;19.07.06.020
Dermatillomania,19.06.05.005;23.03.11.011
Circumoral oedema,10.01.05.013;23.04.01.012
Hyperalbuminaemia,14.10.01.007
Osteomalacia,14.04.04.001;15.02.03.001;20.01.01.002
Peptic ulcer,07.04.07.001;07.04.02.005
Varices oesophageal,07.15.05.001;09.01.06.009;24.10.02.004
Pseudohyperkalaemia,14.05.03.004
Epiphyses premature fusion,05.05.03.002;15.02.02.001
Neuromyopathy,15.05.03.010;17.05.03.003
Urticaria vesiculosa,10.01.06.008;23.04.02.008
Reticuloendothelial system stimulated,01.09.05.001
Incision site complication,12.02.05.012
Vaginismus,19.08.05.006;21.03.02.022
Analgesic therapy,25.01.04.001
Parotid gland inflammation,07.06.04.003
Hepatic steatosis,09.01.07.003;14.08.04.005
Hypomania,19.16.02.001
Malignant transformation,16.16.01.013
Somnolence,17.02.04.006;19.02.05.003
Arteriosclerosis coronary artery,02.02.01.011;24.04.04.012
Blood calcium abnormal,13.11.01.022
Lipoma,15.09.01.001;16.18.01.001
Chronic obstructive pulmonary disease,22.03.01.007
Femoral neck fracture,12.04.01.002;15.08.03.002
Intervertebral discitis,11.01.01.002;12.02.13.001;15.02.05.002
Haemolytic anaemia,01.06.03.002
Athetosis,17.01.01.004
Punctate keratitis,06.04.02.003
Periostitis,15.02.04.008
Intracranial aneurysm,17.08.06.001;24.02.04.001;17.08.06.005;24.02.04.007
Eyelash discolouration,06.06.04.009
Oedema peripheral,02.05.04.007;08.01.07.007;14.05.06.011
Bronchopneumopathy,22.02.07.010
Miliaria,23.02.03.014
Pituitary tumour benign,05.03.05.003;16.37.02.001
Platelet production decreased,01.08.01.009
Hepatic function abnormal,09.01.02.001
Upper gastrointestinal haemorrhage,07.12.02.006;24.07.02.024
Adenoma benign,16.02.02.001
Electrocardiogram ST-T segment abnormal,13.14.05.029
Hepatic cancer,09.04.02.008;16.07.02.004;09.04.03.001;16.07.03.001
Perirenal haematoma,12.01.05.008;20.01.02.021;24.07.07.006
Tumour necrosis,16.32.03.009;24.04.02.013
Application site discharge,08.02.01.039;12.07.01.039;23.03.03.049
Sudden death,02.03.04.013;08.04.01.003
Venous thrombosis,24.01.01.008;24.01.02.003
Activated partial thromboplastin time prolonged,13.01.02.001
Intestinal stenosis,07.13.01.003
Gingival hypertrophy,07.09.13.008
Clonic convulsion,17.12.03.008
Blood bilirubin unconjugated increased,13.03.04.020
Neoplasm,16.16.02.001;16.02.02.007;16.16.01.001
Large intestine polyp,07.20.01.010;16.05.02.006
Tachyarrhythmia,02.03.02.008;02.03.02.007
Abdominal sepsis,07.19.02.012;11.01.11.011
VIIth nerve paralysis,17.04.03.008
Renal cell carcinoma,16.08.02.002;20.01.04.003;16.08.02.004;16.08.02.011;20.01.04.008;20.01.04.021
Abscess sterile,08.01.05.008
Trigger finger,15.07.01.005
Electrocardiogram ST segment elevation,13.14.05.025
Conduction disorder,02.03.01.008
Compression fracture,12.04.02.008;15.08.02.004
Activation syndrome,17.02.05.041;19.06.02.008
Ventricular hypokinesia,02.04.02.013
Adenovirus infection,11.05.09.003
Vascular stenosis,24.04.02.020
Salivary gland disorder,07.06.02.001
Ophthalmic herpes zoster,06.04.05.023;11.05.02.021;17.04.08.005
Insulinoma,05.08.01.004;07.21.09.001;16.24.02.003
Vulvovaginal discomfort,21.08.02.005
Malabsorption,07.17.01.001;14.02.01.004
Intestinal haemorrhage,07.12.03.005;24.07.02.031
Sleep disorder,19.02.04.001
Radiculitis,17.10.01.005;17.10.02.003
Abdominal adhesions,07.07.03.001;12.02.03.006
Post-tussive vomiting,07.01.07.011;12.02.05.042;22.02.03.009
Cardiac death,02.03.04.015;08.04.01.007;08.04.01.001
Systemic lupus erythematosus,10.04.03.004;15.06.02.003;23.03.02.006
Perseveration,19.10.03.005
Ocular surface disease,06.08.03.016
Calculus bladder,20.04.03.001
Urethral syndrome,20.02.02.018
Application site reaction,08.02.01.006;12.07.01.006
Body temperature decreased,13.15.01.010
Albuminuria,20.02.01.001
Otosalpingitis,04.05.01.005;11.01.05.009
Night blindness,06.02.10.010;14.12.03.001
Pleurisy,22.05.01.001
Trisomy 18,02.08.01.003;03.20.01.001;17.03.07.004;19.21.06.004
Polydipsia psychogenic,14.05.02.002;19.24.01.004
White blood cells urine positive,13.13.02.004
Autoimmune thrombocytopenia,01.08.01.013;10.02.01.083
Pregnancy test false positive,13.10.05.003
Procedural pain,08.01.08.009;12.02.05.007
Glaucoma,06.03.01.002
Respiration abnormal,22.02.01.041
Prostate cancer,16.25.01.001;21.04.02.002
Cervical incompetence,18.02.02.009;21.06.01.008
Dysphemia,17.02.08.010;19.19.03.005
Blood bilirubin abnormal,13.03.04.016
Diabetes mellitus,05.06.01.001;14.06.01.001
Uterine cervical erosion,21.06.01.004
Candida sepsis,11.03.03.017
Pyelonephritis,11.01.14.002;20.01.09.001
Viral infection,11.05.04.001
Electrocardiogram QRS complex,13.14.05.034
Ectopic ACTH syndrome,05.08.02.003;16.32.02.002
Genital discharge,21.10.01.006
Catheter site cellulitis,08.02.02.011;11.02.01.030;12.07.02.011;23.11.02.003
Tooth loss,07.09.09.001;12.01.17.026
Amaurosis fugax,06.02.10.002;17.08.04.002;24.04.06.006
Toe walking,15.03.05.032;17.02.05.048;19.01.02.011
Petechiae,01.01.03.002;23.06.01.003;24.07.06.004;01.01.04.003;23.06.01.004;24.07.06.005
Gastrointestinal haemorrhage,07.12.02.001;24.07.02.009
Faecaloma,07.01.03.004
Eye discharge,06.04.05.001
Pyramidal tract syndrome,17.05.05.003
Infection reactivation,11.01.08.048
Electrocardiogram QT prolonged,13.14.05.004
Head injury,12.01.09.003;12.01.10.012;17.11.01.007
Necrotising enterocolitis neonatal,07.08.03.011;18.04.11.002
Acute myeloid leukaemia,01.10.05.001;16.01.05.001
Adenomyosis,21.07.01.011
Enteritis,07.08.03.002
Body height decreased,13.15.01.029
Bile duct stenosis,09.02.02.001
Urinary hesitation,20.02.02.009
Erysipelas,11.02.06.001;23.11.02.007
Choroidal detachment,06.09.01.003;12.01.04.006
Abnormal sensation in eye,06.01.01.001
Aspergillus infection,11.03.01.004
Gastroenteritis adenovirus,07.19.03.004;11.05.09.001
Risus sardonicus,17.01.03.010
Barrett's oesophagus,07.11.03.002
Glomerular filtration rate decreased,13.13.01.009
Bradycardia,02.03.02.002;02.03.02.015
Pancreatitis chronic,07.18.01.007
Hyperadrenocorticism,05.01.01.003;14.11.01.009;24.08.02.005;05.01.01.005;14.11.01.028;24.08.04.003
Hypertrophic osteoarthropathy,15.02.04.022;16.32.01.004;22.12.02.007
Breast cancer female,16.10.01.004;21.05.01.011
Blood creatinine increased,13.13.01.004
Fluid imbalance,14.05.01.003
Calculus ureteric,20.04.03.003
Blood bicarbonate decreased,13.02.01.035
Anisocytosis,01.07.02.008
Toxic epidermal necrolysis,10.01.01.006;11.07.01.006;12.03.01.015;23.03.01.008;10.01.01.045;11.07.01.005;12.03.01.014;23.03.01.007
Blood cortisol decreased,13.10.09.013
Leukostasis,01.02.01.011;16.32.03.018;17.02.10.018;22.01.03.008
Turner's syndrome,03.20.05.002;05.05.04.007
Compartment syndrome,15.05.05.005;24.04.05.006
Oesophageal pain,07.01.05.012
Immunoglobulins increased,13.06.05.005
Shock haemorrhagic,14.05.05.003;24.06.02.014
Splenic peliosis,01.09.02.007
Hyperkinesia,17.01.02.008
Ovarian germ cell teratoma benign,16.04.03.002;21.11.01.004
Feeling of despair,19.15.02.006
Blood electrolytes abnormal,13.11.02.002
Prostatic disorder,21.04.01.001
Muscle atrophy,15.05.03.003;17.05.03.004
Central nervous system neoplasm,16.30.01.001;17.20.01.001
Prostatic pain,21.04.01.004
Musculoskeletal disorder,15.03.05.025
BK virus infection,11.05.05.004
Extravasation,08.01.03.008
Supernumerary nipple,03.03.03.001;21.05.04.020
Kearns-Sayre syndrome,02.04.01.006;03.18.01.001;06.05.02.016;15.05.05.009;17.17.01.019
Lipase abnormal,13.05.01.005
Ototoxicity,04.03.01.004;12.03.01.012
Premature ejaculation,19.08.01.002;21.03.01.008
Talipes,03.11.07.007;15.11.07.007
Lymphoma cutis,01.17.01.005;16.35.01.005;23.07.04.037
Electroencephalogram abnormal,13.07.03.001
Throat irritation,07.05.05.037;22.12.03.029
Mesenteric artery thrombosis,07.15.02.008;24.01.08.003
Vascular insufficiency,24.04.02.014
Mouth haemorrhage,07.05.02.001;24.07.02.014
Anxiety,19.06.02.002;19.01.02.006;19.06.02.003
Purpura senile,01.01.04.009;23.06.01.012;24.07.06.015
Neuroleptic malignant syndrome,08.05.01.005;12.03.01.003;15.05.04.015;17.05.02.003
Toxic neuropathy,12.03.01.055;17.09.03.017
Hypochondriasis,19.24.01.002
Vascular graft occlusion,12.02.01.016;24.04.02.019
Fluid overload,02.05.04.019;14.05.06.003
Cataract cortical,06.06.01.004
Sinus bradycardia,02.03.03.009
Colour blindness acquired,06.02.09.002
Ejection fraction decreased,13.14.02.003
Puncture site haemorrhage,08.02.04.007;12.07.04.006;24.07.01.034
Lung adenocarcinoma stage I,16.19.01.003;22.08.01.008
Malignant neoplasm of renal pelvis,16.08.05.001;20.08.01.009
Congenital cystic kidney disease,03.06.01.003;16.27.01.002;20.01.04.006
Cerebral thrombosis,17.08.01.006;24.01.04.003
Argininosuccinate synthetase deficiency,03.08.04.004;14.14.04.004
Ketoacidosis,14.01.01.008;14.01.01.001;14.01.01.012;20.02.01.009
Blood bilirubin normal,13.03.04.019
Red blood cells semen positive,13.20.04.001
Embolism venous,24.01.01.003
Ileus paralytic,07.02.05.001
Parotid duct obstruction,07.06.05.002
Breast calcifications,21.05.04.009
Nephritis,20.05.02.001
Infertility male,21.03.02.002
Piloerection,23.02.06.005
Somatic hallucination,19.10.04.010;19.02.02.001;19.10.04.003;19.10.04.004;19.10.04.005;19.10.04.006;19.10.04.007
Atrial fibrillation,02.03.03.002
AIDS dementia complex,10.03.03.010;11.05.17.011;17.03.01.009;19.20.02.010
Squamous cell carcinoma of lung,16.19.01.006;22.08.01.014
Wound haematoma,12.01.08.039;24.07.01.062
Prostatic acid phosphatase increased,13.04.02.011
Chalazion,06.04.04.002
Crohn's disease,07.08.01.015;10.02.01.005;07.08.01.022
Post procedural constipation,07.02.02.016;12.02.03.014
Secondary syphilis,11.02.13.001
Pilonidal cyst,11.01.12.026;23.11.02.014
Congenital skin disorder,03.05.01.008;23.07.04.013
Post-traumatic neck syndrome,12.01.07.011;15.03.04.017;17.10.02.004
Polydactyly,03.11.07.010;15.11.07.010
Polyarteritis nodosa,10.02.02.001;15.06.01.003;20.01.02.004;24.12.04.019
Hepatic haemorrhage,09.01.06.008;12.01.17.009;24.07.01.027
Increased bronchial secretion,22.12.01.002
Hyperaemia,24.03.02.002
Placental disorder,18.05.02.001
Monarthritis,15.01.01.001
Cleft lip,03.11.05.002;07.05.08.002;15.11.05.002
Diabetic hyperglycaemic coma,05.07.04.005;14.07.04.005;17.02.09.006
Migraine without aura,17.14.02.003;24.03.05.006
Blood phosphorus increased,13.11.01.016
Iridocyclitis,06.04.03.001
Acute promyelocytic leukaemia,01.10.05.003;16.01.05.003
Acute sinusitis,11.01.13.012;22.07.03.013
Endophthalmitis,06.04.05.009;11.01.06.003
Cardiac failure congestive,02.05.01.002
Leukocytosis,01.02.01.002;17.02.05.059
Vulvovaginitis,11.01.10.003;21.14.02.005
Renal papillary necrosis,05.07.02.001;14.07.02.001;20.01.07.002
Virilism,05.05.01.001;21.10.04.001
Breast neoplasm,16.10.02.001;21.05.01.004;16.10.01.001;21.05.01.003
Myasthenic syndrome,10.04.05.005;15.05.08.003;16.32.01.002;17.05.04.004
Malignant ovarian cyst,16.12.04.002;21.11.01.001
Ultrasound ovary abnormal,13.20.03.003
Pain in jaw,15.02.01.003
Ovarian disorder,21.11.02.004
Menstruation irregular,05.05.01.008;21.01.01.005
Withdrawal bleed,08.06.02.005;21.01.01.010
Balanitis,21.09.03.001
Blood pressure systolic decreased,13.14.03.007
Deafness transitory,04.02.01.004;17.04.07.003
Blindness transient,06.02.10.006;17.17.01.004
Benign gastrointestinal neoplasm,07.20.01.001;16.05.01.001
Subacute endocarditis,02.09.01.002;11.01.16.002
Pancreatic neoplasm,07.21.09.004;16.13.11.005;07.21.09.002;16.13.10.001
Atypical mycobacterial infection,11.04.02.002
Carcinoma in situ,16.16.01.006
Osteocalcin increased,13.16.03.001
Ligament sprain,12.01.07.008;15.07.02.004
Tumour invasion,16.16.01.008
Paradoxical pressor response,24.08.02.003
Scintillating scotoma,06.02.06.005;17.17.02.007;06.02.07.003;17.17.01.001
Physical assault,26.06.01.004
Ocular discomfort,06.08.03.008
Appetite disorder,14.03.01.004;19.09.01.002;14.03.01.008;14.03.02.003;19.09.01.003;19.09.01.008
Hypomagnesaemia,14.04.02.001
Abnormal dreams,17.15.02.001;19.02.03.001
Tic,17.02.05.024;19.11.04.001
Cerebral venous thrombosis,17.08.03.002;24.01.04.005
Parathyroid disorder,05.04.03.001
Injection site discolouration,08.02.03.038;12.07.03.038;23.03.03.046
Transfusion reaction,01.05.01.005;10.02.04.001;12.02.08.001
Pharyngeal erythema,22.04.05.010
Oesophageal obstruction,07.13.02.002
Pneumonia,11.01.09.003;22.07.01.003;22.01.01.006
Joint range of motion decreased,15.01.02.006
Injection site induration,08.02.03.007;12.07.03.007
Speech disorder,17.02.08.003;19.19.02.002;22.12.03.027
Hyporeflexia,17.02.01.003;17.02.01.001;17.02.01.002;17.02.01.006
Nervousness,19.06.02.003;19.01.02.006;19.06.02.002
Inappropriate antidiuretic hormone secretion,05.03.03.001;14.05.07.001
Blood glucose fluctuation,13.02.02.007
Vulval abscess,11.01.10.013;21.14.02.009
Lactose intolerance,07.17.01.003;14.02.02.001;07.17.01.006;14.02.02.003
Hepatic atrophy,09.01.08.004
Genital infection fungal,11.03.05.003;21.10.03.003
Mucosal excoriation,08.01.06.011;12.01.08.019
Herpangina,07.05.07.014;11.05.08.002
Breast tenderness,21.05.05.004
Drug eruption,08.01.06.015;10.01.01.005;23.03.05.001
Oral discomfort,07.05.05.001
Haemarthrosis,12.04.03.001;15.01.01.004;24.07.01.046
Deficiency of bile secretion,09.01.01.011
Strongyloidiasis,07.19.02.006;11.08.01.002
Infected bites,11.01.08.046;12.01.08.033
Choking sensation,19.01.02.002;22.12.03.004
Surgery,25.01.02.003
Polyneuropathy,17.09.03.012;15.05.05.012;17.09.01.004;17.09.03.004
Diarrhoea haemorrhagic,07.02.01.002;24.07.02.004
Sleep terror,17.15.02.006;19.02.03.008
Influenza like illness,08.01.03.010
Pelvic fibrosis,08.03.01.002
Rhinitis seasonal,06.04.01.013;10.01.04.001;22.04.04.008
Night sweats,08.01.03.031;23.02.03.006
Visual brightness,06.02.06.015;17.17.02.009
Blood urea decreased,13.13.01.017
Thrombotic thrombocytopenic purpura,01.08.01.005;23.06.01.011;24.07.06.014
Mastocytosis,01.05.01.017;01.05.01.030;10.02.01.090
Respiratory paralysis,17.01.04.010;22.02.06.003;17.01.04.014;22.09.02.002
Allergic granulomatous angiitis,01.01.04.008;01.02.04.022;10.02.02.017;10.02.02.031;22.01.01.025;23.06.02.005;24.12.04.010;24.12.04.013
Corneal infiltrates,06.08.01.002
Movement disorder,17.01.02.010
International normalised ratio decreased,13.01.02.007
Splinter haemorrhages,23.02.05.014;24.07.01.039
Tonic convulsion,17.12.03.011
Tracheostomy infection,11.01.13.017;12.02.07.007
Death,08.04.01.001;02.03.04.015;08.04.01.007
Skin irritation,23.03.04.009
Genital ulceration,21.10.05.001;23.07.03.004
Endometrial disorder,21.07.01.001
Foetal heart rate,13.21.01.004
Application site hyperaesthesia,08.02.01.023;12.07.01.023;17.02.06.011
Urge incontinence,20.02.02.008
Chronic eosinophilic leukaemia,01.10.07.002;16.01.07.002
Vital dye staining cornea present,13.07.04.010
Paronychia,11.02.01.054;23.11.04.006
Social avoidant behaviour,19.05.01.007
Keratosis pilaris,23.01.01.002
Dacryocystitis,06.04.04.011;11.01.06.008;06.04.04.014
Bronchitis bacterial,11.02.01.011;22.07.06.005
Haematoma,24.07.01.001
Congenital vesicoureteric reflux,03.06.03.001;20.03.05.001
Transaminases decreased,13.03.04.035
Benign intracranial hypertension,17.07.02.011
Postictal state,17.02.04.014;19.13.01.005
Dyshidrotic eczema,23.03.04.034
Large intestine perforation,07.04.06.005;12.02.03.005
Meningioma benign,16.09.03.001;17.18.03.001
Haemorrhagic disorder,01.01.03.004;24.07.01.021
Prolactinoma,05.03.05.005;16.24.07.001
Flat affect,19.04.01.004
Lumbar radiculopathy,17.10.03.003
Ventricular extrasystoles,02.03.04.007
Bronchial disorder,22.03.02.009
Tonsillar hypertrophy,22.04.05.006
Food poisoning,07.11.01.007;11.07.02.001;12.03.01.024
Prehypertension,24.08.02.011
Respiratory rate decreased,13.15.01.003
Basophilia,01.02.01.009
Peripheral nerve palsy,17.01.04.017
Mediastinum neoplasm,16.19.07.001;22.09.03.003
Genitourinary tract neoplasm,16.15.01.001;20.08.01.003;21.10.02.004
Ovarian haemorrhage,21.11.02.006;24.07.03.009
Coronary artery disease,02.02.01.001;24.04.04.006;02.02.01.011;24.04.04.012
Peripheral arterial occlusive disease,24.04.03.010
Oliguria,20.01.03.004
Retinal deposits,06.09.03.005
Enanthema,08.01.06.007
Postoperative fever,08.05.02.016;12.02.05.056
Menstrual disorder,21.01.01.004
Bradykinesia,17.01.02.004;17.01.02.009
Blood bilirubin decreased,13.03.04.017
Psychiatric evaluation abnormal,13.07.06.002
Pelvic neoplasm,16.16.02.003;21.07.04.003
Cystitis noninfective,20.03.02.001
Eosinopenia,01.02.02.003
Gastrointestinal hypermotility,07.02.04.005
Platelet disorder,01.08.03.001
Oropharyngeal blistering,07.05.05.006;22.12.03.014
Hypogonadism male,05.05.02.009;21.13.01.008
Tooth abscess,07.09.01.003;11.01.04.003
Foetal damage,18.03.02.011
Hodgkin's disease lymphocyte predominance type stage unspecified,01.16.04.001;16.31.04.001
Generalised oedema,08.01.07.004;14.05.06.007
Pigmentation disorder,23.05.03.001;01.01.04.010;23.06.01.013;24.07.06.021
Thrombosis mesenteric vessel,07.15.02.004;24.01.08.001
Red blood cell count increased,13.01.05.008
Hypervigilance,19.01.02.006;19.06.02.002;19.06.02.003
Hypovitaminosis,14.12.01.001
Abasia,08.01.02.011;17.02.05.069
Musculoskeletal pain,15.03.04.007
Premature delivery,18.07.01.006
Abortion,18.01.01.001
Hypertensive crisis,24.08.01.001
Haemobilia,09.01.08.009;24.07.01.049
Eye burns,06.11.01.014;12.05.04.007
Alveolar osteitis,07.09.01.006;11.01.04.010;15.02.04.017
Somnambulism,17.15.02.004;19.02.03.006
Parasomnia,19.02.03.007
Neuralgia,17.02.07.005
Blast cell crisis,01.10.02.002;16.01.02.002
Endometrial hyperplasia,21.07.01.002
Brown tumour,14.04.04.010;15.02.03.010;20.01.01.008
Rectal polyp,07.20.01.005;16.05.02.003
Tooth malformation,07.09.08.004
Renal cancer,16.08.02.001;20.01.04.002;16.08.03.001;20.01.04.004
Arrhythmia,02.03.02.001
Urticaria chronic,10.01.06.009;23.04.02.009
Atrioventricular block second degree,02.03.01.005
Lymphatic disorder,01.09.01.003
Dyspepsia,07.01.02.001
Cervical polyp,16.04.05.001;21.06.02.004
Hepatorenal syndrome,09.01.03.007;20.01.03.012
Conjunctival follicles,06.06.02.002
Neoplasm skin,16.03.02.003;23.08.02.003
Prostate induration,21.04.01.006
Epididymitis,11.01.19.005;21.09.02.001
Malignant neoplasm progression,16.16.01.005
Blood acid phosphatase increased,13.04.02.008
Mantle cell lymphoma,01.15.05.001;16.28.05.001
Liver injury,09.01.07.022;12.01.17.012
Haemoptysis,02.11.04.009;22.02.03.004;24.07.01.006
Intra-abdominal haematoma,07.12.02.005;24.07.02.034
Electrocardiogram ST segment depression,13.14.05.005
Hypogammaglobulinaemia,10.03.02.007
Bladder dysfunction,20.03.03.002
Injection site nodule,08.02.03.034;12.07.03.034;23.07.04.009
Endotracheal intubation complication,08.07.02.001;12.02.07.002;22.04.07.001
Nerve compression,12.01.12.001;17.09.02.002
Scleral discolouration,06.09.06.001
Renal infarct,20.01.07.008;24.01.11.004
Guillain-Barre syndrome,10.04.10.005;11.07.01.001;17.09.01.001
Loss of proprioception,17.02.07.019
Anal haemorrhage,07.12.03.004;24.07.02.029
Haemorrhoidal haemorrhage,07.15.03.002;24.10.02.001
Urinary tract pain,20.02.03.013
Lymph node pain,01.09.01.007
Ligament injury,12.01.07.009;15.07.02.005
Fall,12.01.08.002
Bezoar,07.11.01.008
Phonophobia,04.03.01.008;19.06.03.003;04.02.02.001;17.04.03.003
Dactylitis,15.03.03.009
Proctocolitis,07.08.01.001
Glioma,16.30.01.004;17.20.01.004;16.30.02.003;16.30.02.011;17.20.02.003;17.20.02.011
Injection site atrophy,08.02.03.022;12.07.03.022
Oligomenorrhoea,05.05.01.011;21.01.02.004
Morphoea,10.04.07.002;15.06.01.008;23.03.02.011
Non-cardiogenic pulmonary oedema,22.01.03.006;24.03.08.004
Lymphadenopathy,01.09.01.002
Condition aggravated,08.01.03.004
White blood cell disorder,01.02.05.002
Osteoarthritis,15.01.04.001
Middle insomnia,17.15.03.003;19.02.01.003
Viraemia,11.01.11.009
Blood magnesium increased,13.11.01.009
Hernia pain,08.01.08.027
Otitis externa,04.01.02.001;11.01.05.003
Skin discomfort,23.03.03.006
Polymenorrhoea,21.01.03.003
Anal spasm,07.03.03.007;15.05.03.025
Electrocardiogram U-wave abnormality,13.14.05.028
Sluggishness,08.01.01.004
Thyroid function test abnormal,13.10.06.001
Multiparous,26.05.01.003
Application site anaesthesia,08.02.01.017;12.07.01.017;17.02.06.010
Bladder pain,20.02.02.001
Myoglobin urine present,13.16.02.002
Gestational diabetes,05.06.01.008;14.06.01.008;18.02.04.001
Application site inflammation,08.02.01.024;12.07.01.024
Arterial spasm,24.04.02.011
Hypersplenism,01.09.02.002
Blood urea normal,13.13.01.023
Hypoperfusion,24.06.02.019
Application site haematoma,08.02.01.031;12.07.01.031;24.07.01.024
Gastrointestinal infection,07.19.02.005;11.01.07.012
Extensor plantar response,17.02.01.005
Alcoholic psychosis,12.03.01.047;19.03.01.005
Retinal oedema,06.04.06.007;24.03.07.006
Fear,19.06.03.001
Partner stress,26.04.01.002
Sinus congestion,22.04.06.001
Delayed recovery from anaesthesia,12.02.20.005;17.02.04.011
Perinephric collection,12.01.05.003;20.02.03.014
Application site warmth,08.02.01.029;12.07.01.029
Tuberculin test positive,13.08.05.001
Suicide attempt,19.12.01.004
Aphakia,06.06.05.003
Joint lock,15.01.08.004
Hypertrophy,08.03.04.005
Oesophageal irritation,07.08.05.004
Lower urinary tract symptoms,20.02.02.023
Convulsion,17.12.02.005;17.12.03.001;17.12.03.008;17.12.03.010;17.12.03.011;17.12.03.020
Oral neoplasm benign,07.20.02.001;16.05.04.001
Blood potassium abnormal,13.11.01.024
Alcohol abuse,19.07.06.001;19.07.06.004;19.07.06.006
Rhinitis atrophic,22.04.04.005
Hyperviscosity syndrome,01.05.01.016
Cystocele,20.03.01.015;21.07.05.004
Thrombophlebitis superficial,24.01.02.016
Hypervitaminosis D,14.12.04.003
Faecalith,07.01.03.007
Erythrodermic psoriasis,10.02.01.074;23.03.14.007
Melanosis,23.05.01.004;18.08.02.002;23.05.01.001;23.05.01.005
Scar pain,23.03.03.060
Corneal degeneration,06.06.03.001
Phlebitis superficial,24.12.03.005
Cerebellar syndrome,17.02.02.002
Parkinsonian rest tremor,17.01.05.009
Atrophic glossitis,07.14.01.004
Hepatic necrosis,09.01.07.002
Sarcoidosis,10.02.06.001
Uveitis,06.04.03.003;10.02.01.023
Growth accelerated,05.03.01.001;15.03.05.014
