adrid,adr_info
Oedema,08.01.07.006;14.05.06.010
Myocardial ischaemia,02.02.02.008;24.04.04.010
Malnutrition,14.03.02.004
Intertrigo,23.03.04.028
Urinary tract disorder,20.08.01.001
Reflux gastritis,07.08.02.004
Lymphorrhoea,01.09.01.019;24.09.02.005
Repetitive speech,17.02.08.012;19.19.02.003
Sinusitis bacterial,11.02.01.032;22.07.04.003
Uterine cancer,16.12.05.001;21.07.02.003;16.12.06.002;21.07.02.008
Skin toxicity,12.03.01.020;23.03.03.032
Enterobiasis,07.19.01.014;11.08.01.004
Acne pustular,11.01.12.016;23.02.01.007
Hypomenorrhoea,05.05.01.006;21.01.02.002
Application site hypersensitivity,08.02.01.013;10.01.03.009;12.07.01.014
Low birth weight baby,18.04.02.003
Antineutrophil cytoplasmic antibody positive,13.06.01.012
Mucosal erosion,08.01.06.009
Dry skin,23.03.03.001
Xerosis,08.01.03.016
Eosinophilia,01.02.04.001
Cerebral arteritis,17.08.02.004;24.12.02.002
Foot fracture,12.04.01.012;15.08.03.012
Pulmonary embolism,22.06.02.001;24.01.06.001
Benign prostatic hyperplasia,21.04.02.001;16.36.01.001;21.04.02.005
Gingival pain,07.09.13.010
Extremity necrosis,24.04.03.012
Immunosuppressant drug level increased,13.17.01.013
Iron overload,12.02.08.005;14.13.03.002
Dementia with Lewy bodies,17.03.01.004;19.20.02.003
Shock,24.06.02.002;24.06.02.001;24.06.02.017
Drug effect decreased,08.06.01.050
Hepatosplenic T-cell lymphoma,01.11.01.001;16.17.01.001
Allergic oedema,08.01.07.014;10.01.03.025
Croup infectious,11.01.13.020;22.07.03.023
Alkalosis hypochloraemic,14.01.02.003
Haematology test abnormal,13.01.03.002
Road traffic accident,12.01.08.006
Benign hepatic neoplasm,09.04.01.001;16.06.01.001
Metabolic syndrome,05.06.02.007;14.06.02.007;24.08.02.014
Papillary muscle rupture,02.04.02.020
Hypochromic anaemia,01.03.02.004
Drug screen positive,13.17.02.006
Emphysema,22.01.02.002
Mucosal discolouration,08.01.06.008
Electrocardiogram QT shortened,13.14.05.030
Ophthalmoplegia,06.05.02.003;17.17.02.005
Porphyrin metabolism disorder,03.08.01.006;09.01.10.004;14.14.01.006
Sinus operation,25.05.05.001
Muscle swelling,15.05.03.015
Personality change,17.02.05.019;19.05.01.006
Ovulation pain,21.01.01.016
Venous insufficiency,24.04.02.022
Tenderness,08.01.08.005
Blood uric acid abnormal,13.02.04.002
Osteoporotic fracture,12.04.02.005;14.04.04.007;15.08.02.007
Colitis microscopic,07.08.01.011
Venoocclusive liver disease,09.01.06.002;12.02.09.039;24.04.07.002
Application site irritation,08.02.01.003;12.07.01.003
Gravitational oedema,02.05.04.014;08.01.07.005
Lymphocele,01.09.01.008;24.09.02.002
Induration,08.01.03.020
Injection site injury,08.02.03.046;12.07.03.046
Proteinuria,20.02.01.011
Nail disorder,23.02.05.002
Blue toe syndrome,12.02.01.005;24.01.02.004
Porphyria acute,03.08.01.002;09.01.10.001;14.14.01.002;17.19.01.001;19.07.03.003
Laryngitis,11.01.13.001;22.07.03.001
Oligohydramnios,18.05.01.001
Meningitis,11.01.03.001;17.06.03.001;17.06.03.004
Eyelid bleeding,06.07.05.001;23.06.07.005;24.07.05.010
Fat tissue increased,08.01.03.009
