adrid,adr_info
BADD_A00511,13.03.04.015
BADD_A00512,13.03.04.018
BADD_A00519,13.11.01.002
BADD_A00520,13.11.01.003
BADD_A00527,13.12.01.002
BADD_A00532,13.13.01.001
BADD_A00535,13.04.01.001
BADD_A00538,13.13.01.020
BADD_A00541,13.13.01.004
BADD_A00555,13.02.02.001
BADD_A00557,13.02.02.002
BADD_A00573,13.04.02.002
BADD_A00588,13.11.01.010
BADD_A00589,13.11.01.011
BADD_A00592,13.14.03.002
BADD_A00598,24.06.01.002
BADD_A00599,13.14.03.005
BADD_A00606,13.10.03.002
BADD_A00609,13.11.01.012
BADD_A00621,13.12.03.001
BADD_A00625,13.13.01.006
BADD_A00629,13.02.04.001
BADD_A00637,13.15.01.010
BADD_A00638,13.15.01.001
BADD_A00645,15.02.04.004
BADD_A00651,15.02.01.001
BADD_A00659,02.03.02.002
BADD_A00661,17.01.02.004
BADD_A00662,22.02.01.002
BADD_A00670,17.08.01.024;24.04.06.014
BADD_A00673,16.10.01.001;21.05.01.003
BADD_A00675,16.14.01.004;21.05.01.006
BADD_A00676,21.05.05.001
BADD_A00681,18.08.02.001;21.05.05.002
BADD_A00682,21.05.04.001
BADD_A00683,26.05.01.001
BADD_A00690,21.05.04.002
BADD_A00691,16.10.02.001;21.05.01.004
BADD_A00700,21.05.05.003
BADD_A00701,21.05.05.008
BADD_A00702,21.05.05.004
BADD_A00704,07.01.06.002
BADD_A00711,22.03.01.013
BADD_A00712,22.03.02.005
BADD_A00714,11.01.09.001;22.07.01.001
BADD_A00720,10.01.03.012;22.03.01.004
BADD_A00725,07.01.06.008;19.11.03.001
BADD_A00731,02.03.01.009
BADD_A00732,02.03.01.007
BADD_A00733,02.03.01.011
BADD_A00737,08.01.09.029;17.02.06.001
BADD_A00739,12.04.03.010;15.04.01.001
BADD_A00741,08.01.01.009;14.03.02.001;16.32.03.011
BADD_A00743,08.03.04.002
BADD_A00749,20.04.03.002
BADD_A00753,08.01.07.012;24.06.03.001
BADD_A00767,02.03.04.001
BADD_A00773,02.05.01.001
BADD_A00774,02.05.01.005
BADD_A00775,02.05.01.002
BADD_A00784,13.14.01.001
BADD_A00792,02.06.01.001
BADD_A00793,02.03.04.002;22.02.06.007
BADD_A00794,02.05.01.003;24.06.02.006
BADD_A00795,02.04.02.001
BADD_A00797,02.04.01.001
BADD_A00799,02.11.01.010;24.03.02.009
BADD_A00804,17.08.02.001;24.04.06.001
BADD_A00806,17.09.02.001
BADD_A00809,06.06.01.001
BADD_A00813,06.06.01.002
BADD_A00816,19.11.01.001
BADD_A00824,11.02.01.001;23.11.02.004
BADD_A00838,17.08.01.013;24.04.06.007
BADD_A00839,17.02.02.002
BADD_A00841,17.08.01.001;24.01.04.001
BADD_A00843,17.11.01.001
BADD_A00844,17.08.01.003;24.07.04.001
BADD_A00845,17.08.01.004;24.04.06.002
BADD_A00846,17.08.01.005;24.04.06.003
BADD_A00848,17.08.01.006;24.01.04.003
BADD_A00849,17.08.03.002;24.01.04.005
BADD_A00852,17.08.01.007;24.03.05.001
BADD_A00856,17.08.02.002;24.03.05.002
BADD_A00862,21.06.01.002
BADD_A00870,16.12.01.001;21.06.02.001
BADD_A00875,07.02.03.002
BADD_A00877,07.05.01.001;23.03.03.025
BADD_A00883,02.02.02.009;08.01.08.019;22.12.02.002
BADD_A00884,02.02.02.011;08.01.08.002;22.12.02.003
BADD_A00889,08.01.09.001;15.05.03.016
BADD_A00892,18.08.02.002;23.05.01.001
BADD_A00895,22.12.03.003
BADD_A00896,19.01.02.002;22.12.03.004
BADD_A00897,09.04.02.009;16.07.01.002
BADD_A00898,09.02.01.002
BADD_A00901,09.03.01.001
BADD_A00902,09.03.01.003
BADD_A00904,09.03.01.004
BADD_A00905,09.03.01.002
BADD_A00906,09.01.01.001
BADD_A00909,17.05.01.002
BADD_A00913,17.01.01.001
BADD_A00915,17.01.01.003
BADD_A00922,06.02.05.001
BADD_A00923,20.02.01.002
BADD_A00932,01.10.06.001;16.01.06.001
BADD_A00933,01.10.07.001;16.01.07.001
BADD_A00935,22.03.01.007
BADD_A00940,24.06.02.001
BADD_A00950,17.02.05.002
BADD_A00952,07.19.01.004;11.02.02.004
BADD_A00954,17.01.02.005
BADD_A00963,01.01.02.001
BADD_A00970,15.05.04.006;17.01.05.001
